date,price
2020-08-16 09:00:00,1
2020-08-17 09:00:00,1
2020-08-18 09:00:00,-1
2020-08-19 09:00:00,-1
2020-08-20 09:00:00,1
2020-08-21 09:00:00,-1
2020-08-22 09:00:00,1
2020-08-23 09:00:00,-1
2020-08-24 09:00:00,1
2020-08-25 09:00:00,-1
2020-08-26 09:00:00,1
2020-08-27 09:00:00,-1
2020-08-28 09:00:00,1
2020-08-29 09:00:00,-1
2020-08-30 09:00:00,1
2020-08-31 09:00:00,1
2020-09-1 09:00:00,1
2020-09-2 09:00:00,-1
2020-09-3 09:00:00,-1
2020-09-4 09:00:00,1
2020-09-5 09:00:00,-1
2020-09-6 09:00:00,-1
2020-09-7 09:00:00,1
2020-09-8 09:00:00,-1
2020-09-9 09:00:00,1
2020-09-10 09:00:00,1
2020-09-11 09:00:00,1
2020-09-12 09:00:00,1
2020-09-13 09:00:00,-1
2020-09-14 09:00:00,1
2020-09-15 09:00:00,1
2020-09-16 09:00:00,1
2020-09-17 09:00:00,-1
2020-09-18 09:00:00,-1
2020-09-19 09:00:00,1
2020-09-20 09:00:00,-1
2020-09-21 09:00:00,-1
2020-09-22 09:00:00,1
2020-09-23 09:00:00,-1
2020-09-24 09:00:00,1
2020-09-25 09:00:00,-1
2020-09-26 09:00:00,1
2020-09-27 09:00:00,1
2020-09-28 09:00:00,-1
2020-09-29 09:00:00,1
2020-09-30 09:00:00,-1
2020-10-1 09:00:00,-1
2020-10-2 09:00:00,-1
2020-10-3 09:00:00,-1
2020-10-4 09:00:00,1
2020-10-5 09:00:00,1
2020-10-6 09:00:00,-1
2020-10-7 09:00:00,1
2020-10-8 09:00:00,1
2020-10-9 09:00:00,1
2020-10-10 09:00:00,1
2020-10-11 09:00:00,1
2020-10-12 09:00:00,1
2020-10-13 09:00:00,-1
2020-10-14 09:00:00,1
2020-10-15 09:00:00,1
2020-10-16 09:00:00,-1
2020-10-17 09:00:00,1
2020-10-18 09:00:00,1
2020-10-19 09:00:00,1
2020-10-20 09:00:00,1
2020-10-21 09:00:00,1
2020-10-22 09:00:00,1
2020-10-23 09:00:00,1
2020-10-24 09:00:00,1
2020-10-25 09:00:00,-1
2020-10-26 09:00:00,1
2020-10-27 09:00:00,1
2020-10-28 09:00:00,-1
2020-10-29 09:00:00,1
2020-10-30 09:00:00,1
2020-10-31 09:00:00,1
2020-11-1 09:00:00,-1
2020-11-2 09:00:00,-1
2020-11-3 09:00:00,1
2020-11-4 09:00:00,1
2020-11-5 09:00:00,1
2020-11-6 09:00:00,1
2020-11-7 09:00:00,-1
2020-11-8 09:00:00,1
2020-11-9 09:00:00,-1
2020-11-10 09:00:00,-1
2020-11-11 09:00:00,1
2020-11-12 09:00:00,1
2020-11-13 09:00:00,1
2020-11-14 09:00:00,-1
2020-11-15 09:00:00,-1
2020-11-16 09:00:00,1
2020-11-17 09:00:00,1
2020-11-18 09:00:00,1
