Text,Price
크립토 '공포·탐욕 지수' 21... 극단적 공포 지속 | 코인니스,-1
7월 14일 코인니스 데일리 선물 차트 분석 | 코인니스,-1
"중국 안후이성, 현지 암호화폐 채굴업체 운영 중단 명령 | 코인니스",-1
BSC生态Rabbit Finance代码存在漏洞，或有跑路嫌疑 | 코인니스,-1
"핫빗코리아, 7월 20일 원화마켓에 CRYPTOSS 상장 | 코인니스",-1
Bitfinex比特币空头持仓涨至1.62万 24h涨幅2.53% | 코인니스,-1
"익명 개발자 ""BSC 기반 래빗파이낸스, 코드 결함 존재""...먹튀 가능성 제기 | 코인니스",-1
加密资产交易平台TokenSets宣布已部署至Polygon网络 | 코인니스,-1
"비트파이넥스 BTC 숏포지션, 24시간 전 대비 2.53% 증가 | 코인니스",-1
Hepa Finance和Berry Data达成合作并将与Berry Oracle集成 | 코인니스,-1
风险分级衍生品协议 BarnBridge 在 Polygon 上部署启动 | 코인니스,-1
Synthetix 生态项目 Thales 完成 250 万美元战略轮融资 | 코인니스,-1
업비트 개발자 컨퍼런스 2021 1차 연사 라인업 발표 | 코인니스,-1
以太坊信标链首个升级 Altair 已从 Alpha 版本转变为 Beta 版本 | 코인니스,-1
BTC跌破32000 USDT | 코인니스,-1
外媒：巴拉圭法案将要求加密货币在税务部注册并监管加密挖矿及交易 | 코인니스,-1
CoinGeek苏黎世大会将于7月16日起开启三天线上直播 | 코인니스,-1
CoinGeek蘇黎世大會將於7月16日起開啟三天線上直播 | 코인니스,-1
隐私计算网络Eigen Network完成100万美元种子轮融资 | CoinNess,-1
"BTC 낙폭 확대, 32,000 달러선 일시 반납 | 코인니스",-1
巴西证监会批准拉丁美洲首个以太坊ETF | 코인니스,-1
Decrypt主编：美国SEC主席Gensler将善待比特币ETF | 코인니스,-1
"이더리움 비콘체인 첫 업그레이드 '알테어', 알파→베타 버전 변경 | 코인니스",-1
Kusama第五轮卡槽拍卖已锁定约18.26万KSM | 코인니스,-1
"외신 ""파라과이 '암호화폐 규제법', 국세청 등록 등 내용 포함"" | 코인니스",-1
"브라질 금융당국, 라틴아메리카 최초 이더리움 ETF 출시 승인 | 코인니스",-1
币世界午行情：BTC于31800 USDT附近震荡 | 코인니스,-1
쿠사마 5차 슬롯 경매 크라우드론 18.26만 KSM 락업 | 코인니스,-1
ARK方舟基金昨日买入超2.7万股Coinbase股票 | 코인니스,-1
Filecoin：Filecoin 网络已成为最大的零知识证明网络 | 코인니스,-1
过去1小时OKEx总计爆仓2504.47万美元 | 코인니스,-1
"지난 1시간 OKEx서 2,504만 달러 규모 포지션 강제 청산 | 코인니스",-1
维也纳大学法学教授：需要在保护区块链上记录的资产方面进行更多的协调 | 코인니스,-1
去中心化衍生品协议Deri Protocol：V1池和和预挖矿池的LP不再收获任何DERI | 코인니스,-1
"빈 대학 법학 교수 ""암호화폐 관련 법률, 더 늦기 전에 마련돼야"" | 코인니스",-1
"헌트, 민트 클럽 플랫폼 공식 출시 | 코인니스",-1
"데리프로토콜, V1풀 및 프리마이닝 풀 DERI 채굴 중단 | 코인니스",-1
分片公链Zilliqa网络节点内存管理出现问题，暂时禁用主网内的交易处理 | 코인니스,-1
"N.Fans·크립토스 파트너십 체결, 한국시장 진출 추진 | 코인니스",-1
에이프로빗 실시간 주요 암호화폐 시세 | 코인니스,-1
Aperocket.finance遭闪电贷攻击 | 코인니스,-1
ChainSwap宣布赔偿计划，15万美元的ASAP将分配给受影响项目 | 코인니스,-1
DODO社区上线DIP-4提案提议将DODO代币迁移到Arbitrum主网用于激励治理 | 코인니스,-1
“安徽全面关停虚拟货币挖矿项目”排名微博热搜第9位 | 코인니스,-1
韩国Korbit交易所因过度收集用户信息被处以480万韩元罚款 | 코인니스,-1
"질리카, 노드 메모리 관리 결함... 메인넷 트랜잭션 처리 중단 | 코인니스",-1
欧洲央行：数字欧元项目预计需要数年时间才能推出 | 코인니스,-1
"펙실드 ""에이프로켓 파이낸스, 플래시론 공격 당해"" | 코인니스",-1
Pickle Finance推出稳定币项目Iron Finance IS3USD机枪池 | 코인니스,-1
数据：昨日交易所BTC和ETH分别净流出3790万美元和1.24亿美元 | 코인니스,-1
PancakeSwap社区发起提案，拟调整挖矿奖励 | 코인니스,-1
ADA跌破1.2 USDT | CoinNess,-1
Solana 生态 NFT 社交平台 Only1 将向早期支持者空投 100 个独家 NFT | 코인니스,-1
日本警方逮捕涉嫌5500万美元加密投资的诈骗团伙 | 코인니스,-1
"체인스왑, 해킹 배상 계획 발표 | 코인니스",-1
NEAR 推出生态发展风投 MOVE Capital | 코인니스,-1
支持加密支付的旅游网站Travala Q2财报环比增长141% | 코인니스,-1
"일본 경찰, 5500만 달러 암호화폐 투자 사기단 검거 | CoinNess",-1
"NEAR, 생태계 투자 펀드 '무브 캐피탈' 출범 | 코인니스",-1
算法稳定币Fei Protocol与区块链游戏Illuvium合作并发放NFT | 코인니스,-1
"한정판 스니커즈 NFT 리셀 플랫폼 덩크, 옥션 기능 개발 | CoinNess",-1
"호텔 예약 플랫폼 트라발라, Q2 매출 141% 증가 | 코인니스",-1
Bit Digital第二季度共购入3515台矿机，矿机数增至32500台 | 코인니스,-1
"비트디지털, 2분기 비트코인 채굴기 3,515 대 구입 | 코인니스",-1
澳大利亚央行将发布CBDC批发市场报告 | CoinNess,-1
数据：中心化交易所比特币流入量降至接近去年同期水平 | 코인니스,-1
"데이터 ""거래소 BTC 유입량 감소세...지난해 7월 수준"" | 코인니스",-1
DeFi 固定利率协议 Anchor Protocol 获得 Terraform Labs 约 7000 万美元拨款 | 코인니스,-1
"호주 중앙은행 ""여러 중앙은행과 CBDC 타당성 논의 중"" | 코인니스",-1
"비블록 거래소, 금융위 컨설팅 완료 | 코인니스",-1
"권은희 의원, '비트코인 펀드 허용법' 발의 | 코인니스",-1
NFT基础设施服务商Project Galaxy与麦子钱包达成合作 | 코인니스,-1
