accuracy,contents,date,evaluation,id,title
up,암호화폐 전문 미디어 코인텔레그래프에 따르면 미국 법원이 현지 암호화폐 거래소 코인시드에 만 달러의 벌금형을 내렸다. 코인시드를 기소한 미국 뉴욕 검찰청 측은 해당 거래소는 고객의 동의 없이 고객의 자산을 무단으로  코인으로 전환했다. 또 법원이 내린 영업 중단 명령을 무시하고 지속적으로 사기 행위에 가담했으며 비윤리적인 영업을 계속해 왔다고 지적했다. 지난 월 는 코인시드가 투자자들로부터 만 달러 이상을 편취하고 미국 등록법을 위반했다며 현지 법원에 기소한 바 있다. 이에 지난 월 코인시드 측은 법원 명령에 따라 운영을 중단한다고 밝힌 바 있다.,2021-09-14,1,70898,암호화폐 거래소 코인시드 고객 자금 무단 운용 만 달러 벌금
up,인도 마드라스 공과대학교가 헤데라 해시그래프 운영위원회거버닝 카운슬에 합류했다고 밝혔다. 헤데라 해시그래프는 네트워크의 탈중앙화 관리를 총괄하는 헤데라 거버닝 카운슬을 운영하고 있으며 위원회에는 구글  보잉 노무라 도이치텔레콤 등 글로벌 기업들이 참여하고 있다. 학술기관 중에서는 유니버시티 칼리지 런던과 런던정치경제대학교가 잇따라 운영위에 합류한 바 있다. 코인마켓캡 기준 는 현재 . 오른 . 달러에 거래되고 있다.,2021-09-14,1,70897,인도 마드라스 공과대 헤데라해시그래프 운영 위원회 합류
up,미국 민주당 하원 의원들이 암호화폐 거래에 워시세일  규정을 적용하고 고소득자의 양도소득세를 인상하는 법안을 제출했다고 년 월 일현지시간 코인텔레그래프가 보도했다.,2021-09-14,1,70896,하원 의원들 암호화폐에 절세법 적용 및 양도소득세 인상안 제안
up,비트코인 채굴업체 그리니지 제너레이션 가 월 일이하 현지시간 나스닥에 상장될 예정이다.,2021-09-14,1,70895,비트코인 채굴업체 그리니지 제너레이션 월 일 나스닥 상장 예정
up,볼로디미르 젤렌스키 우크라이나 대통령이 암호화폐 도입에 관한 연구 목적으로 엘살바도르에 조사팀을 파견했다고 비트코이니스트가 전했다. 현지 교수 뱌체슬라프 예브게니프 는 젤렌스키 대통령은 년 초까지 자국 화폐인 흐리우냐와 비트코인의 이중 화폐 시스템을 도입하길 희망하고 있다며 심지어 비트코인이 흐리우냐보다 더 우월한 지위를 차지하도록 밀어붙일 가능성도 있다고 말했다. 우크라이나가 비트코인을 적극 도입하려는 배경에 대해서는 러시아의 영향력으로부터 벗어나려는 시도라고 풀이했다. 앞서 일현지시간 우크라이나 의회는 암호화폐의 법적 지위를 인정하는 내용의 가상자산법법안 을 통과시킨 바 있다.,2021-09-14,1,70894,우크라이나 대통령 엘살바도르에 조사팀 파견... 암호화폐 도입 연구 목적
up,코인데스크에 따르면 호주 후불 결제 서비스 업체 집이 모바일 앱을 통해 암호화폐 구매 판매 보유 및 결제 기능을 지원한다고 밝혔다. 앞서 피터 그레이 집 는 지난 월 년 내로 암호화폐 서비스를 출시할 예정이라고 밝힌 바 있다. 암호화폐 결제 기능은 미국 사용자들을 대상으로 우선 출시된 후 전세계로 서비스 범위를 확대될 예정이다. 이에 대해 집 측은 암호화폐 기능을 제공 밀레니얼 파이낸스 다이어트 트렌드를 주도할 예정이라고 밝혔다. 집은 또한 오는 년에는 암호화폐 결제에 이어 구매 시 보상을 비트코인으로 전환할 수 있는 캐시백 서비스도 출시할 예정이다.,2021-09-14,1,70893,호주  서비스 집 암호화폐 결제 및 구매 서비스 출시
up,크립토펑크 개발사 라바랩스에 따르면 크립토펑크의 최저 가격 이 .약 .만 달러를 기록  를 밑돌고 있는 것으로 나타났다.,2021-09-14,1,70892,크립토펑크 최저 가격   하회
up,비트코인닷컴에 따르면  콘텐츠 마케팅 플랫폼 푸푸가 만 달러 투자를 유치했다고 밝혔다. 이번 투자에는  팩컬티 그룹 박스마이닝 등이 참여했다. 투자금은 팀 확장 콘텐츠 개발 등에 쓰일 예정이다. 푸푸는 고객사가 홍보성 퀴즈를 만들고 공유하며 사람들에게  보상을 제공하도록 지원하는 콘텐츠 마케팅 플랫폼이다.,2021-09-14,1,70891,콘텐츠 마케팅 플랫폼 푸푸 만 달러 투자 유치
up,잭 도시 트위터 창업자가 이끄는 모바일 결제 서비스 스퀘어가 암호화폐 관련 특허 분쟁을 줄이기 위해 오픈 인벤션 네트워크에 합류했다고 밝혔다. 오픈 인벤션 네트워크는 세계 최대 오픈 소스 보호 단체로 리눅스 시스템 및 관련 오픈 소스를 특허 괴물의 공격으로부터 보호하기 위한 단체다. 스퀘어는 앞서 회원사 간 특허 소송을 하지 않는다고 서약하는 암호화폐 공개 특허 얼라이언스를 결성 암호화폐 특허 라이브러리를 공개한 바 있다. 오픈 인벤션 네트워크는 전세계적으로 개 이상의 회원사를 두고 있으며 마이크로소프트 굴글 오라클 등이 포함되어 있다.,2021-09-14,1,70890,스퀘어 암호화폐 특허 분쟁 해소 위해 오픈 인벤션 네트워크 합류
up,나입 부켈레 엘살바도르 대통령이 트위터를 통해 비트코인 월렛 치보 사용자가 만명을 넘어섰다고 밝혔다. 그는 또한 앞서 발생했던 기술 결함은  해결된 상태이며 수일 내 결함 복구가 완료될 것이라고 전했다. 이어 치보의 신규 사용자 등록 및 신형 스마트폰과 호환성은 당분간 중단될 예정이며 이 역시 며칠 내 해결될 것이라고 말했다. 앞서 치보가 출시된 이후 다운로드 조작과 관련한 결함이 발견된 바 있다. 비트코인 과 신용카드직불카드 관련 엘살바도르와 미국 일부 지역에 각각 설치된 대 대 치보 는 현재 정상 작동 중이라며 비트코인 신용카드직불카드는 내일부터 사용 가능하며 이에 대한 수수료는 전세계 어디서든 면제라고 설명했다. 또한 비트코인의 최소 이체 한도를 기존 달러에서 .달러로 낮췄다고 덧붙였다.,2021-09-14,1,70888,엘살바도르 대통령  월렛 치보 사용자 만명 돌파
